BT601#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Nitin  Chaudhary#23 Apr, 2021 ( 14:00 to 17:00 )
BT608#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Siddhartha Sankar Ghosh#28 Apr, 2021 ( 09:00 to 12:00 )
BT604#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Vishal Trivedi#22 Apr, 2021 ( 09:00 to 12:00 )
BT609#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Veeranki Venkata Dasu#24 Apr, 2021 ( 09:00 to 12:00 )
BT623#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Ranjan Tamuli#24 Apr, 2021 ( 14:00 to 17:00 )
BT630#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Anand Baskaran#26 Apr, 2021 ( 09:00 to 12:00 )
BT632#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Bithiah Grace Jaganathan#23 Apr, 2021 ( 09:00 to 12:00 )
BT643#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Lalit  Mohan Pandey#28 Apr, 2021 ( 14:00 to 17:00 )
BT619#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rakhi Chaturvedi#24 Apr, 2021 ( 09:00 to 12:00 )
BT622#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Kannan Pakshirajan#27 Apr, 2021 ( 09:00 to 12:00 )
BT640#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Cota Navin Gupta#27 Apr, 2021 ( 09:00 to 12:00 )
BT499#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Arun Goyal#
BT699#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Priyadarshi Satpati#
CL205#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Kaustubha Mohanty#24 Apr, 2021 ( 09:00 to 12:00 )
CL206#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Subrata Kumar Majumder#22 Apr, 2021 ( 09:00 to 12:00 )
CL208#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Nageswara Rao Peela#21 Apr, 2021 ( 09:00 to 12:00 )
CL304#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Vimal Katiyar#23 Apr, 2021 ( 14:00 to 17:00 )
CL305#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Amit  Kumar#21 Apr, 2021 ( 14:00 to 17:00 )
CL306#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Resmi Suresh M.P#24 Apr, 2021 ( 14:00 to 17:00 )
CL401#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Vijayanand S. Moholkar#22 Apr, 2021 ( 09:00 to 12:00 )
CL404#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Prasanna Venkatesh Rajaraman#21 Apr, 2021 ( 09:00 to 12:00 )
CL502#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pallab Ghosh#26 Apr, 2021 ( 09:00 to 12:00 )
